id_parlamentar,casa,nome_eleitoral,partido,UF,twitter,conteudo,n,engajamento,engajamento_mediano
1023,senado,MARIA DO CARMO ALVES,DEM,SE,MariaSenadora,proprio,0,0,0
107283,câmara,GLEISI HOFFMANN,PT,PR,gleisi,proprio,206,737928,2575.5
108338,câmara,JAQUELINE CASSOL,PP,RO,jqcassol,proprio,26,36,1
109429,câmara,BENES LEOCÁDIO,PRB,RN,NA,proprio,0,0,0
112437,câmara,JOÃO MARCELO SOUZA,MDB,MA,NA,proprio,0,0,0
115746,câmara,GELSON AZEVEDO,PR,RJ,NA,proprio,0,0,0
116379,câmara,DARCI DE MATOS,PSD,SC,depdarcidematos,proprio,45,107,2
1173,senado,WELLINGTON FAGUNDES,PR,MT,sen_wellington,proprio,132,494,2
1186,senado,LUIS CARLOS HEINZE,PP,RS,SenadorHeinze,proprio,124,6182,19.5
121948,câmara,ADRIANO DO BALDY,PP,GO,AdrianoBaldy,proprio,0,0,0
122158,câmara,PEDRO PAULO,DEM,RJ,pedropaulo,proprio,44,916,6.5
122974,câmara,PEDRO LUCAS FERNANDES,PTB,MA,NA,proprio,0,0,0
1249,senado,KÁTIA ABREU,PDT,TO,KatiaAbreu,proprio,153,69850,79
132504,câmara,ENIO VERRI,PT,PR,enioverri,proprio,147,35648,44
133439,câmara,ANDRÉ FIGUEIREDO,PDT,CE,andrepdt12,proprio,131,9832,40
133810,câmara,MARCELO MORAES,PTB,RS,NA,proprio,0,0,0
133968,câmara,PAULO RAMOS,PDT,RJ,pauloramosdep,proprio,0,0,0
134812,câmara,EDMILSON RODRIGUES,PSOL,PA,EdmilsonPSOL,proprio,210,17094,24
135054,câmara,CRISTIANO VALE,PR,PA,NA,proprio,0,0,0
136811,câmara,AFONSO HAMM,PP,RS,depafonsohamm,proprio,0,0,0
137070,câmara,VICENTINHO JÚNIOR,PR,TO,vicentinhojr,proprio,79,71,1
139285,câmara,LÍDICE DA MATA,PSB,BA,lidicedamata,proprio,239,7827,14
141335,câmara,BETO FARO,PT,PA,BetoFaroPT ‏,proprio,0,0,0
141391,câmara,ARNALDO JARDIM,PPS,SP,ArnaldoJardim,proprio,130,790,4
141398,câmara,CARLOS ZARATTINI,PT,SP,CarlosZarattini,proprio,225,29580,58
141401,câmara,CARLOS BEZERRA,MDB,MT,CarlosBezerraJr,proprio,117,4636,17
141405,câmara,CELSO MALDANER,MDB,SC,celsomaldaner,proprio,0,0,0
141408,câmara,CLEBER VERDE,PRB,MA,CleberVerde10 ‏,proprio,0,0,0
141411,câmara,DAGOBERTO NOGUEIRA,PDT,MS,dagobertopdt,proprio,1,1,1
141417,câmara,EDIO LOPES,PR,RR,ediolopes,proprio,197,113,0
141421,câmara,EDUARDO DA FONTE,PP,PE,eduardodafonte,proprio,0,0,0
141422,câmara,EFRAIM FILHO,DEM,PB,efraimfilho,proprio,27,183,5
141427,câmara,FÁBIO RAMALHO,MDB,MG,_FabinhoRamalho,proprio,0,0,0
141428,câmara,FÁBIO FARIA,PSD,RN,fabiofaria33,proprio,0,0,0
141431,câmara,FERNANDO COELHO FILHO,DEM,PE,FBCFilho,proprio,6,26,3.5
141434,câmara,FLAVIANO MELO,MDB,AC,flaviano_melo,proprio,0,0,0
141439,câmara,CHICO D'ANGELO,PDT,RJ,chico_dangelo,proprio,240,3942,7
141450,câmara,HUGO LEAL,PSD,RJ,dephugoleal,proprio,0,0,0
141458,câmara,JOÃO CARLOS BACELAR,PR,BA,deputadobacelar,proprio,0,0,0
141459,câmara,JOÃO MAIA,PR,RN,depjoaomaia,proprio,0,0,0
141464,câmara,JOSÉ AIRTON FÉLIX CIRILO,PT,CE,JoseAirtonPT,proprio,25,66,2
141470,câmara,JOSÉ GUIMARÃES,PT,CE,guimaraes13PT,proprio,708,70912,18.5
141488,câmara,PAULO TEIXEIRA,PT,SP,pauloteixeira13,proprio,216,259837,719
141508,câmara,MAURO NAZIF,PSB,RO,drmauronazif,proprio,0,0,0
141513,câmara,BILAC PINTO,DEM,MG,bilac_pinto,proprio,0,0,0
141516,câmara,PAULO ABI-ACKEL,PSDB,MG,pauloabiackel,proprio,15,89,3
141518,câmara,PAULO PEREIRA DA SILVA,SOLIDARIEDADE,SP,dep_paulinho,proprio,12,43,2.5
141523,câmara,RAUL HENRY,MDB,PE,RaulHenry,proprio,0,0,0
141531,câmara,RODRIGO DE CASTRO,PSDB,MG,RodrigoCastro45,proprio,15,51,3
141553,câmara,VANDERLEI MACRIS,PSDB,SP,vanderleimacris,proprio,108,879,5
141555,câmara,VINICIUS CARVALHO,PRB,SP,falecomvinicius,proprio,95,52,0
143084,câmara,TIAGO DIMAS,SOLIDARIEDADE,TO,tiago_dimas,proprio,87,262,3
143632,câmara,DOMINGOS NETO,PSD,CE,Domingos_Neto,proprio,32,1172,5
146307,câmara,NERI GELLER,PP,MT,NeriGeller,proprio,0,0,0
146788,câmara,MARCELO ARO,PHS,MG,marceloaro,proprio,132,806,2
150418,câmara,MÁRCIO MARINHO,PRB,BA,dpmarciomarinho,proprio,40,75,1
151208,câmara,LAERCIO OLIVEIRA,PP,SE,laerciofederal,proprio,0,0,0
152605,câmara,GLAUBER BRAGA,PSOL,RJ,Glauber_Braga,proprio,130,104071,47
152610,câmara,ROBERTO ALVES,PRB,SP,RobertoAlvesPRB,proprio,0,0,0
154178,câmara,MILTON VIEIRA,PRB,SP,DepMiltonVieira,proprio,22,24,1
156190,câmara,MARCEL VAN HATTEM,NOVO,RS,marcelvanhattem,proprio,163,247962,824
157130,câmara,TÚLIO GADÊLHA,PDT,PE,tuliogadelha,proprio,81,82138,320
159237,câmara,ASSIS CARVALHO,PT,PI,assis_carvalho,proprio,188,1540,2
160508,câmara,AFONSO FLORENCE,PT,BA,AfonsoFlorence‏,proprio,0,0,0
160510,câmara,LUIS TIBÉ,AVANTE,MG,LuisTibeOficial,proprio,0,0,0
160511,câmara,ALESSANDRO MOLON,PSB,RJ,AlessandroMolon,proprio,0,0,0
160512,câmara,AUREO RIBEIRO,SOLIDARIEDADE,RJ,DeputadoAureo,proprio,0,0,0
160517,câmara,PAULO FOLETTO,PSB,ES,DeputadoFoletto,proprio,0,0,0
160518,câmara,WELITON PRADO,PROS,MG,pradoweliton,proprio,34,130,3
160527,câmara,AGUINALDO RIBEIRO,PP,PB,aguinaldo1111,proprio,0,0,0
160528,câmara,DANILO CABRAL,PSB,PE,danilo4010 ‏,proprio,0,0,0
160531,câmara,JHONATAN DE JESUS,PRB,RR,jhonatan_djesus,proprio,14,67,4.5
160532,câmara,ELI CORRÊA FILHO,DEM,SP,NA,proprio,0,0,0
160534,câmara,LAURIETE,PR,ES,2010lauriete,proprio,0,0,0
160535,câmara,MARCON,PT,RS,depmarcon,proprio,273,4994,5
160538,câmara,BOHN GASS,PT,RS,BOHNGASS,proprio,0,0,0
160541,câmara,ARTHUR LIRA,PP,AL,DEPArthurLira,proprio,0,0,0
160545,câmara,ALEXANDRE LEITE,DEM,SP,lexandreleite,proprio,58,23,0
160552,câmara,DANRLEI DE DEUS HINTERHOLZ,PSD,RS,DanrleiFederal,proprio,0,0,0
160553,câmara,ANTONIO BRITO,PSD,BA,antoniobritoba,proprio,0,0,0
160556,câmara,PADRE JOÃO,PT,MG,dep_padrejoao,proprio,199,5080,5
160558,câmara,PAULO FREIRE COSTA,PR,SP,DF_PauloFreire,proprio,36,158,3.5
160559,câmara,ALCEU MOREIRA,MDB,RS,Alceu_Moreira,proprio,214,2239,8
160569,câmara,WALDENOR PEREIRA,PT,BA,waldenorpereira,proprio,32,671,13
160570,câmara,JERÔNIMO GOERGEN,PP,RS,jeronimogoergen,proprio,285,10865,8
160575,câmara,ERIKA KOKAY,PT,DF,erikakokay,proprio,585,399334,238
160587,câmara,FÁBIO TRAD,PSD,MS,f_trad,proprio,95,1737,13
160588,câmara,DIEGO ANDRADE,PSD,MG,diegoandrade_mg,proprio,0,0,0
160589,câmara,BRUNA FURLAN,PSDB,SP,BrunaFurlan_,proprio,0,0,0
160591,câmara,VINICIUS GURGEL,PR,AP,vinicius2828,proprio,0,0,0
160592,câmara,ZECA DIRCEU,PT,PR,zeca_dirceu,proprio,305,21911,16
160598,câmara,FLÁVIA MORAIS,PDT,GO,depflaviamorais,proprio,0,0,0
160599,câmara,DIMAS FABIANO,PP,MG,depdimasfabiano,proprio,0,0,0
160600,câmara,ARTHUR OLIVEIRA MAIA,DEM,BA,departhurmaia,proprio,0,0,0
160601,câmara,PR. MARCO FELICIANO,PODE,SP,marcofeliciano,proprio,465,339564,237
160604,câmara,PEDRO UCZAI,PT,SC,uczai,proprio,203,14322,20
160610,câmara,VALMIR ASSUNÇÃO,PT,BA,falavalmir,proprio,0,0,0
160619,câmara,JOSÉ NUNES,PSD,BA,JoseNunesDep,proprio,0,0,0
160621,câmara,SANDRO ALEX,PSD,PR,SandroAlex2323,proprio,0,0,0
160632,câmara,ZÉ SILVA,SOLIDARIEDADE,MG,ZeSilva_,proprio,136,65,0
160635,câmara,RUY CARNEIRO,PSDB,PB,depruycarneiro,proprio,14,29,1.5
160639,câmara,PROFESSORA DORINHA SEABRA REZENDE,DEM,TO,profdorinha,proprio,8,28,3
160640,câmara,EROS BIONDINI,PROS,MG,erosbiondini,proprio,167,5126,26
160641,câmara,PROFESSORA MARCIVANIA,PCdoB,AP,marcivania65,proprio,33,72,1
160642,câmara,PASTOR EURICO,PATRI,PE,pastoreurico,proprio,0,0,0
160645,câmara,LUIZ CARLOS,PSDB,AP,depluizcarlos,proprio,0,0,0
160651,câmara,ROGÉRIO PENINHA MENDONÇA,MDB,SC,deputadopeninha,proprio,148,16385,27.5
160653,câmara,ROBERTO DE LUCENA,PODE,SP,robertodelucena,proprio,32,336,9
160655,câmara,RICARDO IZAR,PP,SP,RicardoIzar,proprio,14,57,4
160665,câmara,AUGUSTO COUTINHO,SOLIDARIEDADE,PE,augustocmelo ‏,proprio,0,0,0
160666,câmara,FÉLIX MENDONÇA JÚNIOR,PDT,BA,felixMendoncaJr,proprio,0,0,0
160667,câmara,GUILHERME MUSSI,PP,SP,guilhermemussi,proprio,0,0,0
160669,câmara,GENECIAS NORONHA,SOLIDARIEDADE,CE,depgenecias,proprio,0,0,0
160672,câmara,JEAN WYLLYS,PSOL,RJ,jeanwyllys_real,proprio,88,305063,836.5
160673,câmara,GIOVANI CHERINI,PR,RS,giovanicherini,proprio,169,304,1
160674,câmara,HUGO MOTTA,PRB,PB,hugomottapb,proprio,0,0,0
160758,câmara,DOMINGOS SÁVIO,PSDB,MG,DomingosSavioMG,proprio,75,607,2
160976,câmara,TIRIRICA,PR,SP,tiriricanaweb,proprio,16,582,35.5
161550,câmara,EMIDINHO MADEIRA,PSB,MG,emidinhomadeira,proprio,0,0,0
162332,câmara,LUIZ NISHIMORI,PR,PR,luiznishimori,proprio,0,0,0
164359,câmara,DELEGADO WALDIR,PSL,GO,delegado_waldir,proprio,0,0,0
164360,câmara,CARMEN ZANOTTO,PPS,SC,carmenzanotto,proprio,0,0,0
166402,câmara,MAGDA MOFATTO,PR,GO,Magdamofatto,proprio,0,0,0
171617,câmara,PAULÃO,PT,AL,paulaodopt,proprio,74,771,3
171619,câmara,MARGARIDA SALOMÃO,PT,MG,JFMargarida,proprio,948,173595,36
171623,câmara,FABIO REIS,MDB,SE,fabioreis1515,proprio,60,115,1
177282,câmara,SUBTENENTE GONZAGA,PDT,MG,SubGonzagaMG,proprio,0,0,0
178829,câmara,CAPITÃO AUGUSTO,PR,SP,capitao_augusto,proprio,0,0,0
178831,câmara,ANDRÉ ABDON,PP,AP,dep_andreabdon‏,proprio,0,0,0
178832,câmara,LEANDRE,PV,PR,Leandre4300,proprio,0,0,0
178833,câmara,ALEXANDRE SERFIOTIS,PSD,RJ,AleSerfiotis,proprio,1,1,1
178835,câmara,AFONSO MOTTA,PDT,RS,afonso_motta,proprio,0,0,0
178836,câmara,ALAN RICK,DEM,AC,Alan_Rick,proprio,49,284,4
178839,câmara,JÉSSICA SALES,MDB,AC,NA,proprio,0,0,0
178842,câmara,JHC,PSB,AL,JHC_40,proprio,102,1060,4.5
178843,câmara,MARX BELTRÃO,PSD,AL,NA,proprio,0,0,0
178853,câmara,CAETANO,PT,BA,DepCaetano‏,proprio,0,0,0
178854,câmara,ELMAR NASCIMENTO,DEM,BA,ElmarNascimento,proprio,0,0,0
178857,câmara,JORGE SOLLA,PT,BA,depjorgesolla,proprio,135,69575,122
178858,câmara,MÁRIO NEGROMONTE JR.,PP,BA,depnegromontejr,proprio,0,0,0
178860,câmara,PAULO AZI,DEM,BA,pauloazi,proprio,0,0,0
178861,câmara,RONALDO CARLETTO,PP,BA,ronaldocarletto,proprio,8,0,0
178863,câmara,ULDURICO JUNIOR,PPL,BA,ulduricopinto,proprio,0,0,0
178866,câmara,LUIZIANNE LINS,PT,CE,Luizianne13PT,proprio,125,3010,9
178871,câmara,EVAIR VIEIRA DE MELO,PP,ES,EvairdeMelo,proprio,204,308,1
178873,câmara,HELDER SALOMÃO,PT,ES,heldersalomao,proprio,396,217846,77.5
178874,câmara,SERGIO VIDIGAL,PDT,ES,vidigalsergio,proprio,0,0,0
178876,câmara,CÉLIO SILVEIRA,PSDB,GO,csilveira4599 ‏,proprio,0,0,0
178879,câmara,LUCAS VERGILIO,SOLIDARIEDADE,GO,VergilioLucas77,proprio,0,0,0
178881,câmara,ALUISIO MENDES,PODE,MA,AluisioMendesMA,proprio,22,53,2
178882,câmara,ANDRÉ FUFUCA,PP,MA,DepAndreFufuca,proprio,0,0,0
178884,câmara,HILDO ROCHA,MDB,MA,hildorocha1513,proprio,60,51,1
178886,câmara,JUSCELINO FILHO,DEM,MA,DepJuscelino,proprio,95,177,1
178887,câmara,RUBENS PEREIRA JÚNIOR,PCdoB,MA,rubenspereirajr,proprio,315,17843,15
178889,câmara,ZÉ CARLOS,PT,MA,Dep_ZeCarlosPT,proprio,97,1018,3
178895,câmara,MISAEL VARELLA,PSD,MG,NA,proprio,0,0,0
178896,câmara,NEWTON CARDOSO JR,MDB,MG,newton1510,proprio,50,123,2
178901,câmara,TEREZA CRISTINA,DEM,MS,TerezaCrisMS,proprio,32,56695,1168.5
178908,câmara,DELEGADO ÉDER MAURO,PSD,PA,EderMauroPA,proprio,190,4882,17.5
178909,câmara,HÉLIO LEITE,DEM,PA,NA,proprio,0,0,0
178910,câmara,JOAQUIM PASSARINHO,PSD,PA,joaquimpassarin,proprio,0,0,0
178912,câmara,PEDRO CUNHA LIMA,PSDB,PB,pedroocl,proprio,12,874,49.5
178916,câmara,DANIEL COELHO,PPS,PE,DanielCoelho23 ‏,proprio,0,0,0
178920,câmara,RICARDO TEOBALDO,PODE,PE,psdbricardo45,proprio,0,0,0
178921,câmara,SEBASTIÃO OLIVEIRA,PR,PE,Seba_Oliveira,proprio,0,0,0
178922,câmara,TADEU ALENCAR,PSB,PE,NA,proprio,0,0,0
178924,câmara,CAPITÃO FÁBIO ABREU,PR,PI,depfabioabreu,proprio,61,85,1
178925,câmara,REJANE DIAS,PT,PI,rejane_dias,proprio,79,230,2
178927,câmara,ALIEL MACHADO,PSB,PR,alielmachado,proprio,70,1126,7
178928,câmara,CHRISTIANE DE SOUZA YARED,PR,PR,christianeyared,proprio,0,0,0
178929,câmara,DIEGO GARCIA,PODE,PR,diegogarciapr,proprio,120,755,5
178930,câmara,EVANDRO ROMAN,PSD,PR,roman_evandro,proprio,51,84,1
178931,câmara,LUCIANO DUCCI,PSB,PR,LucianoDucci,proprio,31,69,2
178933,câmara,SERGIO SOUZA,MDB,PR,_sergiosouza,proprio,0,0,0
178934,câmara,TONINHO WANDSCHEER,PROS,PR,deputadotoninho,proprio,112,177,1
178937,câmara,ALTINEU CÔRTES,PR,RJ,Altineu,proprio,21,10,0
178939,câmara,CLARISSA GAROTINHO,PROS,RJ,dep_clarissa,proprio,21,143,5
178945,câmara,ROSANGELA GOMES,PRB,RJ,rosangelasgomes,proprio,53,89,1
178946,câmara,SORAYA SANTOS,PR,RJ,sorayasantos,proprio,24,189,5.5
178947,câmara,SÓSTENES CAVALCANTE,DEM,RJ,DepSostenes,proprio,331,23441,15
178948,câmara,BETO ROSADO,PP,RN,betorosado,proprio,0,0,0
178951,câmara,RAFAEL MOTTA,PSB,RN,RafaelMottaRN,proprio,25,162,5
178952,câmara,WALTER ALVES,MDB,RN,WalterAlvesRN,proprio,0,0,0
178953,câmara,EXPEDITO NETTO,PSD,RO,netto_expedito,proprio,21,41,2
178954,câmara,LUCIO MOSQUINI,MDB,RO,luciomosquini,proprio,0,0,0
178956,câmara,MARIANA CARVALHO,PSDB,RO,MarianaPSDB,proprio,0,0,0
178959,câmara,HIRAN GONÇALVES,PP,RR,deputadohiran,proprio,32,62,1
178961,câmara,SHÉRIDAN,PSDB,RR,depsheridan,proprio,0,0,0
178962,câmara,CARLOS GOMES,PRB,RS,carlosgomesdep,proprio,3,0,0
178963,câmara,COVATTI FILHO,PP,RS,CovattiFilho,proprio,1,5,5
178964,câmara,HEITOR SCHUCH,PSB,RS,HeitorSchuch,proprio,31,113,3
178966,câmara,GEOVANIA DE SÁ,PSDB,SC,geovaniadesa,proprio,18,469,14.5
178969,câmara,FÁBIO MITIDIERI,PSD,SE,depfmitidieri,proprio,236,1334,4
178970,câmara,JOÃO DANIEL,PT,SE,joaodanielPT,proprio,0,0,0
178972,câmara,ALEX MANENTE,PPS,SP,alexmanentepps,proprio,0,0,0
178975,câmara,BALEIA ROSSI,MDB,SP,baleia_rossi,proprio,0,0,0
178977,câmara,EDUARDO CURY,PSDB,SP,eduardo_cury,proprio,0,0,0
178981,câmara,HERCULANO PASSOS,MDB,SP,herculanopassos,proprio,36,76,2
178983,câmara,MARCIO ALVINO,PR,SP,AlvinoMarcio,proprio,0,0,0
178985,câmara,MIGUEL LOMBARDI,PR,SP,DMiguellombardi,proprio,9,21,3
178986,câmara,NILTO TATTO,PT,SP,NiltoTatto,proprio,474,6075,5
